405,405,405,1585,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,1585,405,405,405,405,405,405,405,405,405,405,405,405,405
405,405,1585,405,405,405,405,405,405,405,1585,405,405,405,405,405,405,405,405,405,405,405,1585,405,405,405,405,405,405,405
405,405,405,405,405,1585,405,405,405,405,405,405,405,405,405,405,1585,405,405,405,405,405,405,405,405,405,405,405,1585,405
405,405,405,405,405,405,405,1585,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,1585,405,405,405,405,405
1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805
1805,1805,1585,1805,1585,1585,1805,1805,1805,1805,1805,1585,1805,1805,1805,1805,1585,1805,1805,1805,1805,1805,1805,1585,1805,1805,1805,1585,1805,1805
1805,1805,1805,1805,1585,1805,1805,1805,1805,1585,1585,1805,1805,1805,1805,1805,1585,1805,1805,1805,1805,1805,1585,1585,1805,1805,1805,1585,1805,1805
1805,1805,1805,1805,1805,1805,1805,1054,1054,1054,1805,1805,1805,1805,1805,1805,1805,1805,1054,1054,1805,1805,1585,1805,1805,1805,1805,1805,1805,968
405,405,1054,1053,1054,1055,1056,1074,1074,1074,1054,405,405,405,405,405,405,1053,1074,1074,1056,405,405,1807,1807,1807,1807,1807,968,968
671,1054,1074,1074,1075,1076,1073,1074,1075,1076,1074,670,671,670,671,670,671,1073,1074,1075,968,968,670,671,670,671,670,968,968,968
1073,1074,1075,1076,1075,1076,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1074,1075,1076
1093,1094,1095,1096,1095,1096,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1094,1095,1096
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173
1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,706,706,706,706,706,706,1810,1811,1812,1813,1814
706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706
651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651
543,543,543,543,543,543,543,544,545,546,566,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546
563,563,563,563,563,563,563,564,565,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566
177,178,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
197,198,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,197,198,199
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,198,199
